               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.041785,             0.14838,                   0,             0.82957,             0.71588,             0.74594,             0.34834,            0.040956,             0.22352,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.042641,             0.14463,                   0,             0.82281,             0.69896,             0.71916,             0.30785,            0.043071,             0.22543,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.042753,             0.12826,                   0,             0.83077,              0.6935,             0.74523,             0.34138,            0.043871,             0.23329,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.042234,             0.13038,                   0,             0.82492,             0.68723,             0.71731,             0.31377,            0.045402,             0.22152,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.042078,             0.12801,                   0,             0.81136,             0.73483,              0.7589,             0.36104,            0.041466,             0.21869,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.041009,             0.11799,                   0,             0.83524,             0.70961,             0.74063,             0.32278,            0.043586,             0.21575,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.041471,             0.12448,                   0,             0.83983,             0.75415,             0.77534,             0.36927,            0.037648,             0.20786,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.041135,             0.12886,                   0,             0.82459,             0.73772,             0.74702,             0.34231,            0.038305,             0.21246,                   0,            0.008614,            0.008614,            0.008614
                  58,             0.03965,             0.12478,                   0,             0.84579,               0.756,             0.77972,             0.38812,            0.038721,             0.20923,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,             0.03959,             0.13642,                   0,             0.82687,             0.74299,             0.75615,             0.36769,            0.038652,             0.21763,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.039493,             0.13583,                   0,             0.84414,             0.75218,                0.78,             0.38453,            0.037916,             0.20949,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.041219,             0.15139,                   0,             0.79591,             0.68969,             0.70411,             0.29982,            0.041722,             0.21752,                   0,            0.008515,            0.008515,            0.008515
